Tue Dec 14 20:49:49 EST 2021
Predicting price movement for: 2021-12-14
Loading word weights
['-', 'ads', '0.0', '8', '16']
['-', 'them', '0.0', '8', '16']
['-', 'this', '0.0', '8', '16']
['-', 'time', '0.0', '8', '16']
['-', 'there', '0.0', '8', '16']
['-', 'turtle', '0.0', '8', '16']
['-', 'uber', '0.0', '8', '16']
['-', 'upgraded', '0.0', '8', '0']
['-', 'uipath', '0.0', '8', '0']
['-', 'vip', '0.0', '16', '16']
['-', 'vulnerability', '0.0', '8', '0']
['-', 'view', '0.0', '8', '0']
['-', 'value', '0.0', '8', '16']
['-', 'what', '0.0', '16', '16']
['-', 'why', '0.0', '24', '32']
['-', 'willis', '0.0', '8', '16']
['-', 'watson', '0.0', '8', '16']
['-', 'wealth', '0.0', '8', '0']
['-', 'watch', '0.0', '8', '0']
['-', 'xanthus', '0.0', '8', '0']
