Wed Dec 15 12:30:53 EST 2021
Predicting price movement for: 2021-12-15
Loading word weights
['-', 'ads', '0.0', '12', '24']
['-', 'has', '0.0', '12', '24']
['-', 'high', '0.0', '24', '48']
['-', 'harmonic', '0.0', '12', '24']
['-', 'hlit', '0.0', '12', '24']
['-', 'hits', '0.0', '12', '24']
['-', 'hear', '0.0', '12', '24']
['-', 'investors', '0.0', '36', '48']
['-', 'inc', '0.0', '192', '168']
['-', 'include', '0.0', '12', '24']
['-', 'investment', '0.0', '12', '24']
['-', 'inflation', '0.0', '36', '0']
['-', 'internet', '0.0', '12', '0']
['-', 'international', '0.0', '24', '0']
['-', 'invesco', '0.0', '12', '0']
['-', 'intel', '0.0', '12', '0']
['-', 'its', '0.0', '12', '24']
['-', 'interactive', '0.0', '12', '0']
['-', 'johnson', '0.0', '48', '48']
['-', 'jones', '0.0', '48', '0']
['-', 'looms', '0.0', '36', '0']
['-', 'log', '0.0', '12', '0']
['-', 'large', '0.0', '12', '24']
['-', 'life', '0.0', '12', '24']
['-', 'metaverse', '0.0', '48', '72']
['-', 'mean', '0.0', '24', '24']
['-', 'meta', '0.0', '72', '96']
['-', 'monday', '0.0', '12', '24']
['-', 'management', '0.0', '36', '24']
['-', 'meeting', '0.0', '48', '0']
['-', 'musk', '0.0', '48', '0']
['-', 'more', '0.0', '48', '0']
['-', 'microsoft', '0.0', '12', '0']
['-', 'machines', '0.0', '24', '0']
['-', 'main', '0.0', '12', '0']
['-', 'market', '0.0', '12', '0']
['-', 'most', '0.0', '12', '24']
['-', 'mic', '0.0', '12', '24']
['-', 'new', '0.0', '24', '24']
['-', 'nintendo', '0.0', '12', '24']
['-', 'nfts', '0.0', '12', '0']
['-', 'national', '0.0', '12', '24']
['-', 'nvidia', '0.0', '12', '24']
['-', 'near', '0.0', '12', '24']
['-', 'online', '0.0', '12', '24']
['-', 'off', '0.0', '12', '0']
['-', 'ohio', '0.0', '12', '24']
['-', 'platforms', '0.0', '72', '96']
['-', 'plc', '0.0', '12', '24']
['-', 'participate', '0.0', '12', '0']
['-', 'plan', '0.0', '12', '0']
['-', 'point', '0.0', '24', '0']
['-', 'procter', '0.0', '24', '48']
['-', 'portfolio', '0.0', '12', '24']
['-', 'pick', '0.0', '12', '24']
['-', 'peloton', '0.0', '12', '0']
['-', 'question', '0.0', '12', '24']
['-', 'quarter', '0.0', '12', '0']
['-', 'qualcomm', '0.0', '36', '72']
['-', 'qcom', '0.0', '12', '24']
['-', 'reasons', '0.0', '24', '48']
['-', 'rules', '0.0', '12', '24']
['-', 'report', '0.0', '48', '0']
['-', 'reverses', '0.0', '12', '0']
['-', 'read', '0.0', '12', '0']
['-', 'rise', '0.0', '12', '0']
['-', 'reality', '0.0', '12', '0']
['-', 'room', '0.0', '12', '24']
['-', 'run', '0.0', '12', '24']
['-', 'stock', '0.0', '84', '96']
['-', 'single', '0.0', '12', '24']
['-', 'scam', '0.0', '12', '24']
['-', 'safety', '0.0', '12', '24']
['-', 'synopsys', '0.0', '12', '0']
['-', 'snps', '0.0', '12', '0']
['-', 'shareholders', '0.0', '12', '0']
['-', 'sells', '0.0', '72', '24']
['-', 'shares', '0.0', '36', '0']
['-', 'stocks', '0.0', '24', '0']
['-', 'steve', '0.0', '12', '0']
['-', 'scramble', '0.0', '12', '0']
['-', 'software', '0.0', '12', '0']
['-', 'skids', '0.0', '24', '0']
['-', 'street', '0.0', '12', '0']
['-', 'salesforce', '0.0', '12', '0']
['-', 'storage', '0.0', '12', '24']
['-', 'surged', '0.0', '12', '24']
['-', 'share', '0.0', '12', '24']
['-', 'surprised', '0.0', '12', '24']
['-', 'season', '0.0', '12', '24']
['-', 'ses', '0.0', '12', '24']
['-', 'spectrum', '0.0', '12', '24']
['-', 'still', '0.0', '12', '24']
['-', 'technologies', '0.0', '60', '72']
['-', 'the', '0.0', '60', '120']
['-', 'that', '0.0', '36', '48']
['-', 'trillion', '0.0', '12', '24']
['-', 'tighten', '0.0', '12', '24']
['-', 'towers', '0.0', '12', '24']
['-', 'tesla', '0.0', '48', '0']
['-', 'tech', '0.0', '12', '0']
['-', 'threatens', '0.0', '12', '0']
['-', 'third', '0.0', '12', '0']
['-', 'top', '0.0', '12', '24']
['-', 'them', '0.0', '12', '24']
['-', 'this', '0.0', '12', '24']
['-', 'time', '0.0', '12', '24']
['-', 'there', '0.0', '12', '24']
['-', 'turtle', '0.0', '12', '24']
['-', 'uber', '0.0', '12', '24']
['-', 'upgraded', '0.0', '12', '0']
['-', 'uipath', '0.0', '12', '0']
['-', 'vip', '0.0', '24', '24']
['-', 'vulnerability', '0.0', '12', '0']
['-', 'view', '0.0', '12', '0']
['-', 'value', '0.0', '12', '24']
['-', 'what', '0.0', '24', '24']
['-', 'why', '0.0', '36', '48']
['-', 'willis', '0.0', '12', '24']
['-', 'watson', '0.0', '12', '24']
['-', 'wealth', '0.0', '12', '0']
['-', 'watch', '0.0', '12', '0']
['-', 'xanthus', '0.0', '12', '0']
{'FB': [], 'MSFT': [], 'AAPL': [], 'NVDA': [], 'AMD': [], 'XLNX': [], 'QCOM': [], 'MU': []}
Analyzing weights
weight_stdev is 0.9336464365179741
weight_stdev_o is 0.8139691780822045
weight_average is 0.963186936216493
weight_average_o is 0.8845070422535212
stock_rating_sum_pred1 for FB is 0
stock_rating_cnt_pred1 for FB is 0
stock_rating_sum_pred2 for FB is 0
stock_rating_cnt_pred2 for FB is 0
stock_rating_sum_pred1 for MSFT is 0
stock_rating_cnt_pred1 for MSFT is 0
stock_rating_sum_pred2 for MSFT is 0
stock_rating_cnt_pred2 for MSFT is 0
stock_rating_sum_pred1 for AAPL is 0
stock_rating_cnt_pred1 for AAPL is 0
stock_rating_sum_pred2 for AAPL is 0
stock_rating_cnt_pred2 for AAPL is 0
stock_rating_sum_pred1 for NVDA is 0
stock_rating_cnt_pred1 for NVDA is 0
stock_rating_sum_pred2 for NVDA is 0
stock_rating_cnt_pred2 for NVDA is 0
stock_rating_sum_pred1 for AMD is 0
stock_rating_cnt_pred1 for AMD is 0
stock_rating_sum_pred2 for AMD is 0
stock_rating_cnt_pred2 for AMD is 0
stock_rating_sum_pred1 for XLNX is 0
stock_rating_cnt_pred1 for XLNX is 0
stock_rating_sum_pred2 for XLNX is 0
stock_rating_cnt_pred2 for XLNX is 0
stock_rating_sum_pred1 for QCOM is 0
stock_rating_cnt_pred1 for QCOM is 0
stock_rating_sum_pred2 for QCOM is 0
stock_rating_cnt_pred2 for QCOM is 0
stock_rating_sum_pred1 for MU is 0
stock_rating_cnt_pred1 for MU is 0
stock_rating_sum_pred2 for MU is 0
stock_rating_cnt_pred2 for MU is 0
PREDICTIONS FOR METHOD 1 BASED ON:
	- AVG:  0.963186936216493
	- STD:  0.9336464365179741
RATING FOR:  FB
	- STD ABOVE MEAN:  None
	- RAW VAL RATING:  None
	- PROBABILITY IS:  None
	- CORRESPONDS TO:  undecided
RATING FOR:  MSFT
	- STD ABOVE MEAN:  None
	- RAW VAL RATING:  None
	- PROBABILITY IS:  None
	- CORRESPONDS TO:  undecided
RATING FOR:  AAPL
	- STD ABOVE MEAN:  None
	- RAW VAL RATING:  None
	- PROBABILITY IS:  None
	- CORRESPONDS TO:  undecided
RATING FOR:  NVDA
	- STD ABOVE MEAN:  None
	- RAW VAL RATING:  None
	- PROBABILITY IS:  None
	- CORRESPONDS TO:  undecided
RATING FOR:  AMD
	- STD ABOVE MEAN:  None
	- RAW VAL RATING:  None
	- PROBABILITY IS:  None
	- CORRESPONDS TO:  undecided
RATING FOR:  XLNX
	- STD ABOVE MEAN:  None
	- RAW VAL RATING:  None
	- PROBABILITY IS:  None
	- CORRESPONDS TO:  undecided
RATING FOR:  QCOM
	- STD ABOVE MEAN:  None
	- RAW VAL RATING:  None
	- PROBABILITY IS:  None
	- CORRESPONDS TO:  undecided
RATING FOR:  MU
	- STD ABOVE MEAN:  None
	- RAW VAL RATING:  None
	- PROBABILITY IS:  None
	- CORRESPONDS TO:  undecided
PREDICTIONS FOR METHOD 2 BASED ON:
	- AVG:  0.8845070422535212
	- STD:  0.8139691780822045
RATING FOR:  FB
	- STD ABOVE MEAN:  None
	- RAW VAL RATING:  None
	- PROBABILITY IS:  None
	- CORRESPONDS TO:  undecided
RATING FOR:  MSFT
	- STD ABOVE MEAN:  None
	- RAW VAL RATING:  None
	- PROBABILITY IS:  None
	- CORRESPONDS TO:  undecided
RATING FOR:  AAPL
	- STD ABOVE MEAN:  None
	- RAW VAL RATING:  None
	- PROBABILITY IS:  None
	- CORRESPONDS TO:  undecided
RATING FOR:  NVDA
	- STD ABOVE MEAN:  None
	- RAW VAL RATING:  None
	- PROBABILITY IS:  None
	- CORRESPONDS TO:  undecided
RATING FOR:  AMD
	- STD ABOVE MEAN:  None
	- RAW VAL RATING:  None
	- PROBABILITY IS:  None
	- CORRESPONDS TO:  undecided
RATING FOR:  XLNX
	- STD ABOVE MEAN:  None
	- RAW VAL RATING:  None
	- PROBABILITY IS:  None
	- CORRESPONDS TO:  undecided
RATING FOR:  QCOM
	- STD ABOVE MEAN:  None
	- RAW VAL RATING:  None
	- PROBABILITY IS:  None
	- CORRESPONDS TO:  undecided
RATING FOR:  MU
	- STD ABOVE MEAN:  None
	- RAW VAL RATING:  None
	- PROBABILITY IS:  None
	- CORRESPONDS TO:  undecided

Done
